行为时间,view_duration,tp_video_view
2023-11-29 00:00:00,453,0
2023-11-29 00:00:00,454,0
2023-11-29 00:00:00,456,0
2023-11-29 00:00:00,459,0
2023-11-29 00:00:00,46,0
2023-11-29 00:00:00,462,0
2023-11-29 00:00:00,463,1
2023-11-29 00:00:00,467,0
2023-11-29 00:00:00,49,1
2023-11-29 00:00:00,492,0
2023-11-29 00:00:00,51,0
2023-11-29 00:00:00,515,0
2023-11-29 00:00:00,524,1
2023-11-29 00:00:00,525,1
2023-11-29 00:00:00,535,0
2023-11-29 00:00:00,583,0
2023-11-29 00:00:00,71,0
2023-11-29 00:00:00,86,0
2023-11-29 00:00:00,88,0
2023-11-29 00:00:00,946,0
2023-11-29 00:00:00,98,1
2023-11-29 00:00:00,99,0
2023-11-29 00:00:00,0.93,0
2023-11-29 00:00:00,0.945,0
2023-11-29 00:00:00,1.167,0
2023-11-29 00:00:00,1.314,0
2023-11-29 00:00:00,1.316,0
2023-11-29 00:00:00,1.352,0
2023-11-29 00:00:00,1.361,0
2023-11-29 00:00:00,1.407,0
2023-11-29 00:00:00,1.441,0
2023-11-29 00:00:00,1.466,0
2023-11-29 00:00:00,1.477,0
2023-11-29 00:00:00,1.521,0
2023-11-29 00:00:00,1.575,0
2023-11-29 00:00:00,1.598,0
2023-11-29 00:00:00,1.668,0
2023-11-29 00:00:00,1.682,0
2023-11-29 00:00:00,1.712,0
2023-11-29 00:00:00,1.735,0
2023-11-29 00:00:00,1.8,0
2023-11-29 00:00:00,1.801,0
2023-11-29 00:00:00,1.888,0
2023-11-29 00:00:00,1.923,0
2023-11-29 00:00:00,1.951,0
2023-11-29 00:00:00,1.973,0
2023-11-29 00:00:00,1.976,0
2023-11-29 00:00:00,10.101,0
2023-11-29 00:00:00,10.281,0
2023-11-29 00:00:00,10.526,0
2023-11-29 00:00:00,10.57,0
2023-11-29 00:00:00,10.761,0
2023-11-29 00:00:00,10.808,0
2023-11-29 00:00:00,103.294,0
2023-11-29 00:00:00,104.512,0
2023-11-29 00:00:00,106.841,0
2023-11-29 00:00:00,107.41,0
2023-11-29 00:00:00,1074,0
2023-11-29 00:00:00,108,0
2023-11-29 00:00:00,108.905,0
2023-11-29 00:00:00,1084,0
2023-11-29 00:00:00,1085,0
2023-11-29 00:00:00,11.031,0
2023-11-29 00:00:00,11.198,0
2023-11-29 00:00:00,11.284,0
2023-11-29 00:00:00,11.296,0
2023-11-29 00:00:00,11.495,0
2023-11-29 00:00:00,11.601,0
2023-11-29 00:00:00,11.652,0
2023-11-29 00:00:00,11.71,0
2023-11-29 00:00:00,11.718,0
2023-11-29 00:00:00,11.738,1
2023-11-29 00:00:00,1108,0
2023-11-29 00:00:00,1109,0
2023-11-29 00:00:00,111,0
2023-11-29 00:00:00,1110,0
2023-11-29 00:00:00,1111,0
2023-11-29 00:00:00,113,0
2023-11-29 00:00:00,113.688,0
2023-11-29 00:00:00,114.573,0
2023-11-29 00:00:00,115,0
2023-11-29 00:00:00,115.493,0
2023-11-29 00:00:00,117.258,0
2023-11-29 00:00:00,1171.677,0
2023-11-29 00:00:00,1172.614,0
2023-11-29 00:00:00,1174.964,0
2023-11-29 00:00:00,1175,0
2023-11-29 00:00:00,1175.492,0
2023-11-29 00:00:00,1176.342,0
2023-11-29 00:00:00,1177,0
2023-11-29 00:00:00,119,0
2023-11-29 00:00:00,12.027,0
2023-11-29 00:00:00,12.407,0
2023-11-29 00:00:00,12.556,0
2023-11-29 00:00:00,12.843,1
2023-11-29 00:00:00,12.874,0
2023-11-29 00:00:00,12.926,0
2023-11-29 00:00:00,12.993,0
2023-11-29 00:00:00,1201.603,0
2023-11-29 00:00:00,1206.276,0
